form	lemma	POS	morph
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
ཆགརྫོགས་པ་	ཆགརྫོགས་པ་	NON_WORD
ཆེན་པོ་	ཆེན་པོ་	ADJ
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
ངལ་གསོ་	ངལ་གསོ་	OTHER
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
ངལ་གསོ་	ངལ་གསོ་	OTHER
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
བསྡུས་དོན་	བསྡུས་དོན་	NOUN
པདྨ་	པདྨ་	NOUN
དཀར་པོ་	དཀར་པོ་	ADJ
འི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
།		PUNCT
		
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
ངལ་གསོ་	ངལ་གསོ་	OTHER
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
སྟོད་ཆ་	སྟོད་ཆ་	NOUN
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
ངལ་གསོ་	ངལ་གསོ་	OTHER
ལེའུ་	ལེའུ་	NOUN
དང་པོ་	དང་པོ་	ADJ
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
།		PUNCT
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
ངལ་གསོ་	ངལ་གསོ་	OTHER
ལེའུ་	ལེའུ་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
།		PUNCT
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
ངལ་གསོ་	ངལ་གསོ་	OTHER
ལེའུ་	ལེའུ་	NOUN
གསུམ་པ་	གསུམ་པ་	NUM
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
།		PUNCT
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
ངལ་གསོ་	ངལ་གསོ་	OTHER
ལེའུ་	ལེའུ་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
།		PUNCT
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
ངལ་གསོ་	ངལ་གསོ་	OTHER
ལེའུ་	ལེའུ་	NOUN
ལྔ་པ་	ལྔ་པ་	NUM
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
།		PUNCT
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
ངལ་གསོ་	ངལ་གསོ་	OTHER
ལེའུ་	ལེའུ་	NOUN
དྲུག་པ་	དྲུག་པ་	NUM
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
།		PUNCT
		
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
ངལ་གསོ་	ངལ་གསོ་	OTHER
ལེའུ་	ལེའུ་	NOUN
བདུན་པ་	བདུན་པ་	NUM
འི་	གི་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
།		PUNCT
		
དཀར་ཆག་	དཀར་ཆག་	NOUN
		
